season,event_code,event_name,team_count,match_count,team_number,adv_rank,qual_rank,qual_points,alliance_selection_points,award_points,playoff_points,total_points
2025,USMIFLQ,Flint Qualifier,37,55,5289,12,8,13,16,0,0,29
2025,USMIFLQ,Flint Qualifier,37,55,13550,13,9,12,15,0,0,27
2025,USMIFLQ,Flint Qualifier,37,55,7031,14,12,11,15,0,0,26
2025,USMIFLQ,Flint Qualifier,37,55,11181,15,24,8,0,15,0,23
2025,USMIFLQ,Flint Qualifier,37,55,10035,16,17,10,0,12,0,22
2025,USMIFLQ,Flint Qualifier,37,55,26859,17,23,9,0,12,0,21
2025,USMIFLQ,Flint Qualifier,37,55,16536,18,25,8,0,12,0,20
2025,USMIFLQ,Flint Qualifier,37,55,23446,19,28,7,0,12,0,19
2025,USMIFLQ,Flint Qualifier,37,55,16355,20,10,12,0,6,0,18
2025,USMIFLQ,Flint Qualifier,37,55,18954,21,15,11,0,6,0,17
2025,USMIFLQ,Flint Qualifier,37,55,10601,22,,16,0,0,0,16
2025,USMIFLQ,Flint Qualifier,37,55,15447,23,20,9,0,6,0,15
2025,USMIFLQ,Flint Qualifier,37,55,24360,24,11,12,0,0,0,12
2025,USMIFLQ,Flint Qualifier,37,55,23624,25,14,11,0,0,0,11
2025,USMIFLQ,Flint Qualifier,37,55,22738,26,16,10,0,0,0,10
2025,USMIFLQ,Flint Qualifier,37,55,7065,27,22,9,0,0,0,9
2025,USMIFLQ,Flint Qualifier,37,55,21115,28,21,9,0,0,0,9
2025,USMIFLQ,Flint Qualifier,37,55,13647,29,27,8,0,0,0,8
2025,USMIFLQ,Flint Qualifier,37,55,24088,30,26,8,0,0,0,8
2025,USMIFLQ,Flint Qualifier,37,55,8688,31,30,7,0,0,0,7
2025,USMIFLQ,Flint Qualifier,37,55,17104,32,31,6,0,0,0,6
2025,USMIFLQ,Flint Qualifier,37,55,24441,33,32,6,0,0,0,6
2025,USMIFLQ,Flint Qualifier,37,55,25312,34,33,6,0,0,0,6
